AREA,Area,MAINTRAVELWORK,Main means of travel to work,AGE,Age group,SEX,Sex,YEAR,Year,Value,Flags
224100,St Johns Hill East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,294,
224200,St Johns Hill West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,267,
224300,Titoki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,315,
224400,Springvale West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,174,
224500,Springvale East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,147,
224600,Upper Aramoho,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,132,
224700,Balgownie,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1641,
224800,Laird Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,552,
224900,Wembley Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,105,
225000,College Estate,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,384,
225100,Whanganui East-Williams Domain,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,297,
225200,Gonville West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,90,
225300,Gonville North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,342,
225400,Cornmarket,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,444,
225500,Whanganui East-Riverlands,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,306,
225600,Kaitoke-Fordell,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,723,
225700,Whanganui Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,5373,
225800,Gonville South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1197,
225900,Bastia-Durie Hill,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,255,
226000,Putiki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,117,
226100,Mokai Patea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,816,
226200,Ngamatea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,18,
226300,Turakina,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,276,
226400,Otairi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,465,
226500,Taihape,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,666,
226600,Marton Rural,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,534,
226700,Marton North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1110,
226800,Parewanui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,309,
226900,Marton South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,246,
227000,Bulls,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,555,
227100,Kiwitea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,498,
227200,Tokorangi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,435,
227300,Ohakea-Sanson,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,930,
227400,Oroua Downs,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,219,
227500,Awahuri,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,438,
227600,Pohangina-Apiti,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,309,
227700,Mount Taylor,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,48,
227800,Taikorea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,378,
227900,Makino,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,258,
228000,Sandon,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,219,
228100,Kimbolton North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,450,
228200,Warwick,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,186,
228300,Kimbolton West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,423,
228400,Feilding Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2601,
228500,Kimbolton South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,297,
228600,Kauwhata,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,567,
228700,Taonui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,387,
228800,Newbury,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,699,
228900,Palmerston North Airport,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,975,
229000,Milson North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,261,
229100,Cloverlea (Palmerston North City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,141,
229200,Tremaine,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,6063,
229300,Milson South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,360,
229400,Whakarongo,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,426,
229500,Westbrook,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,264,
229600,Takaro North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,801,
229700,Pioneer West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,72,
229800,Palmerston North Hospital,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2289,
229900,Highbury East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,357,
230000,Park West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,147,
230100,Takaro South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,294,
230200,Roslyn (Palmerston North City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,747,
230300,Kelvin Grove West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,171,
230400,Kelvin Grove North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,294,
230500,Papaioea North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,963,
230600,Palmerston North Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,10209,
230700,Awapuni North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,354,
230800,Terrace End,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,354,
230900,Maraetarata,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,219,
231000,Papaioea South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,615,
231100,Royal Oak (Palmerston North City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,267,
231200,West End,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,540,
231300,Awapuni South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,462,
231400,Milverton,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,366,
231500,Ruamahanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,345,
231600,Esplanade,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,513,
231700,Hokowhitu Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,306,
231800,Hokowhitu East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,570,
231900,Turitea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2331,
232000,Ruahine,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,750,
232100,Linton Camp,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1689,
232200,Ashhurst,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,372,
232300,Hokowhitu South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,168,
232400,Aokautere,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,111,
232500,Pihauatua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,528,
232600,Aokautere Rural,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
232700,Poutoa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,498,
232800,Norsewood,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,507,
232900,Papatawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,552,
233000,Mangatainoka,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,609,
233100,Woodville,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
233200,Dannevirke West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,420,
233300,Dannevirke East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1413,
233400,Waitahora,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,216,
233500,Kaitawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,234,
233600,Pahiatua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,873,
233700,Nireaha-Eketahuna,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,564,
233800,Owhanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,333,
233900,Mara,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3,
234000,Kere Kere,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,303,
234100,Foxton Beach,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,198,
234200,Foxton North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,228,
234300,Foxton South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,522,
234400,Waitarere,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,450,
234500,Waikawa (Horowhenua District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,138,
234600,Miranui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,402,
234700,Donnelly Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,258,
234800,Ohau-Manakau,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,714,
234900,Kawiu South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,189,
235000,Makomako,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,183,
235100,Kawiu North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,183,
235200,Levin Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1863,
235300,Tararua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1167,
235400,Shannon,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,171,
235500,Queenwood (Horowhenua District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
235600,Playford Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,138,
235700,Fairfield (Horowhenua District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
235800,Taitoko,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,222,
235900,Waiopehu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,204,
236000,Makahika,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,216,
236100,Kimberley,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,102,
236200,Kapiti Island,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
236300,Otaki Beach,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,174,
236400,Forest Lakes (Kapiti Coast District),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,192,
236500,Otaki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1314,
236600,Te Horo,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,348,
236700,Waitohu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,93,
236800,Waikanae Beach,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,417,
236900,Peka Peka,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,111,
237000,Paraparaumu Beach North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,429,
237100,Paraparaumu Beach West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,672,
237200,Waikanae Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,354,
237300,Paraparaumu Beach East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,369,
237400,Otaihanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,108,
237500,Paraparaumu North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,618,
237600,Waikanae West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1218,
237700,Otaki Forks,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,225,
237800,Paraparaumu Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3327,
237900,Maungakotukutuku,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,321,
238000,Raumati Beach West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,687,
238100,Waikanae East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,486,
238200,Tararua Forest Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,3,
238300,Raumati Beach East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,282,
238400,Paraparaumu East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,552,
238500,Raumati South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,516,
238600,Paekakariki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
238700,Mana Island,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
238800,Pukerua Bay,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,204,
238900,Paekakariki Hill,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,108,
239000,Plimmerton,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,627,
239100,Titahi Bay North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,267,
239200,Titahi Bay South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,366,
239300,Elsdon-Takapuwahia,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,225,
239400,Pauatahanui,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,441,
239500,Onepoto,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,141,
239600,Camborne,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,180,
239700,Inlet Porirua Harbour,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,0,
239800,Paremata,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,735,
239900,Porirua Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,6717,
240000,Papakowhai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,771,
240100,Aotea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,369,
240200,Postgate,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,201,
240300,Ascot Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,144,
240400,Whitby,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,528,
240500,Porirua East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,177,
240600,Endeavour,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,498,
240700,Cannons Creek North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,297,
240800,Waitangirua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,303,
240900,Ranui Heights,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,135,
241000,Cannons Creek East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,270,
241100,Cannons Creek South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,66,
241200,Akatarawa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,132,
241300,Riverstone Terraces,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,99,
241400,Heretaunga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,591,
241500,Birchville-Brown Owl,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,270,
241600,Poets Block,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,615,
241700,Brentwood (Upper Hutt City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,195,
241800,Silverstream (Upper Hutt City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,567,
241900,Elderslea,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,432,
242000,Trentham North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,495,
242100,Totara Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,201,
242200,Trentham South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1893,
242300,Mangaroa,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,363,
242400,Ebdentown,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,204,
242500,Wallaceville,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,228,
242600,Maoribank,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,216,
242700,Te Marua,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,99,
242800,Pinehaven,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,177,
242900,Clouston Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,495,
243000,Upper Hutt Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2748,
243100,Belmont Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,81,
243200,Maungaraki,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,327,
243300,Korokoro,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,129,
243400,Kelson,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,402,
243500,Normandale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,156,
243600,Belmont (Lower Hutt City),9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,273,
243700,Petone Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,4848,
243800,Tirohanga,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,189,
243900,Manor Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,90,
244000,Alicetown-Melling,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2001,
244100,Taita North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,312,
244200,Boulcott,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1023,
244300,Hutt Central North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,6210,
244400,Avalon West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,519,
244500,Stokes Valley Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,309,
244600,Taita South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1074,
244700,Petone East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1305,
244800,Hutt Central South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,792,
244900,Stokes Valley North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,336,
245000,Petone Esplanade,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1140,
245100,Epuni West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1206,
245200,Avalon East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,426,
245300,Woburn,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,162,
245400,Naenae Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1035,
245500,Waterloo West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,360,
245600,Epuni East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,306,
245700,Gracefield,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,4059,
245800,Moera,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,366,
245900,Delaney,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,132,
246000,Waiwhetu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,711,
246100,Waterloo East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,552,
246200,Naenae North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,201,
246300,Manuka,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,165,
246400,Naenae South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,81,
246500,Towai,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,6,
246600,Arakura,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,123,
246700,Eastern Bays,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,333,
246800,Pencarrow,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,87,
246900,Wainuiomata West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,351,
247000,Glendale,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,207,
247100,Wainuiomata Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,480,
247200,Eastbourne,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,501,
247300,Homedale East,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,267,
247400,Homedale West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,147,
247500,Makara-Ohariu,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,213,
247600,Tawa North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,201,
247700,Linden,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,321,
247800,Tawa South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,405,
247900,Tawa Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1260,
248000,Grenada North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1188,
248100,Churton Park North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,498,
248200,Takapu-Horokiwi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,42,
248300,Churton Park South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,288,
248400,Johnsonville West,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,264,
248500,Grenada Village,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,150,
248600,Johnsonville North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,300,
248700,Paparangi,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,444,
248800,Ngaio North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,162,
248900,Johnsonville Central,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,1815,
249000,Broadmeadows,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,117,
249100,Crofton Downs,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,417,
249200,Johnsonville South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,378,
249300,Khandallah Reserve,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,270,
249400,Karori Park,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,459,
249500,Newlands North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,405,
249600,Ngaio South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,492,
249700,Newlands South,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,2055,
249800,Woodridge,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,90,
249900,Karori North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,528,
250000,Khandallah North,9999,Total people - main means of travel to work,999999,Total people - age group,9,Total people - sex,2018,2018,651,
